delay,conditions,key_resp.rt,,expected,,unexpected
0.1,expected,0.5153534,0.1,0.892029726,0.1,0.732497045
0.1,expected,0.4997248,0.4,0.8042174,0.4,0.841263861
0.1,expected,0.4350585,0.7,0.735929075,0.7,0.745709491
0.1,expected,0.4282519,,,,
0.1,expected,0.5594255,total,2.432176201,total,2.319470397
0.1,expected,0.4688496,,difference ,0.112705804,
0.1,expected,1.160512,,,,
0.1,expected,1.9227849,,,,
0.1,expected,0.3683721,,,,
0.1,expected,1.0727714,,,,
0.1,expected,0.4167692,,,,
0.1,expected,0.5894381,,,,
0.1,expected,0.8671495,,,,
0.1,expected,0.898122,,,,
0.1,expected,0.3601496,,,,
0.1,expected,1.013669,,,,
0.1,expected,1.6123374,,,,
0.1,expected,0.4471966,,,,
0.1,expected,0.4803852,,,,
0.1,expected,0.7962921,,,,
0.1,expected,0.4670718,,,,
0.1,expected,4.0759284,,,,
0.1,expected,0.4467997,,,,
0.1,expected,0.3255973,,,,
0.1,expected,0.2823527,,,,
0.1,expected,0.3486439,,,,
0.1,expected,0.3700678,,,,
0.1,expected,4.2347036,,,,
0.1,expected,0.3623145,,,,
0.1,expected,0.5012567,,,,
0.1,expected,1.9745698,,,,
0.1,expected,0.5828523,,,,
0.1,expected,0.6784654,,,,
0.1,expected,1.1281256,,,,
0.1,expected,0.4388489,,,,
0.1,expected,0.9524656,,,,
0.1,expected,2.238609,,,,
0.1,expected,0.7587513,,,,
0.1,expected,2.417176,,,,
0.1,expected,0.5773048,,,,
0.1,expected,0.3079498,,,,
0.1,expected,0.6003818,,,,
0.1,expected,0.8197567,,,,
0.1,expected,0.3708379,,,,
0.1,expected,0.6089014,,,,
0.1,expected,0.8512321,,,,
0.1,expected,0.6118075,,,,
0.1,expected,0.7113026,,,,
0.1,expected,2.2358053,,,,
0.1,expected,1.1397507,,,,
0.1,expected,1.6376154,,,,
0.1,expected,0.991265,,,,
0.1,expected,0.7661644,,,,
0.1,expected,0.6711608,,,,
0.1,expected,0.6263157,,,,
0.1,expected,0.8341696,,,,
0.1,expected,0.4096531,,,,
0.1,expected,0.4091742,,,,
0.1,expected,0.3175087,,,,
0.1,expected,1.3076772,,,,
0.1,expected,0.6333952,,,,
0.1,expected,0.5659789,,,,
0.1,expected,0.478341,,,,
0.1,expected,1.2443011,,,,
0.1,expected,0.378178,,,,
0.1,expected,1.2708199,,,,
0.4,expected,1.1152575,,,,
0.4,expected,1.5472924,,,,
0.4,expected,1.0774666,,,,
0.4,expected,1.6416647,,,,
0.4,expected,0.5119526,,,,
0.4,expected,0.299223,,,,
0.4,expected,0.3269724,,,,
0.4,expected,0.4158338,,,,
0.4,expected,0.3390975,,,,
0.4,expected,0.3584932,,,,
0.4,expected,0.3423866,,,,
0.4,expected,0.4818488,,,,
0.4,expected,0.5840243,,,,
0.4,expected,0.4908943,,,,
0.4,expected,0.567666,,,,
0.4,expected,0.3436222,,,,
0.4,expected,0.3832734,,,,
0.4,expected,1.9076038,,,,
0.4,expected,0.3326242,,,,
0.4,expected,0.3954091,,,,
0.4,expected,0.3679838,,,,
0.4,expected,1.4756763,,,,
0.4,expected,0.6022204,,,,
0.4,expected,0.6405189,,,,
0.4,expected,1.2908947,,,,
0.4,expected,2.7323683,,,,
0.4,expected,0.9752055,,,,
0.4,expected,2.1929243,,,,
0.4,expected,0.5048174,,,,
0.4,expected,0.7070666,,,,
0.4,expected,0.362332,,,,
0.4,expected,0.6016861,,,,
0.4,expected,0.4852146,,,,
0.4,expected,0.6981852,,,,
0.4,expected,1.0479085,,,,
0.7,expected,1.0300737,,,,
0.7,expected,2.3954093,,,,
0.7,expected,0.4416964,,,,
0.7,expected,0.5613649,,,,
0.7,expected,0.720655,,,,
0.7,expected,0.9205983,,,,
0.7,expected,0.4304086,,,,
0.7,expected,0.414924,,,,
0.7,expected,0.2848202,,,,
0.7,expected,1.4247089,,,,
0.7,expected,0.491523,,,,
0.7,expected,1.4495188,,,,
0.7,expected,0.5479683,,,,
0.7,expected,0.4088116,,,,
0.7,expected,0.384121,,,,
0.7,expected,1.6710415,,,,
0.7,expected,0.7258875,,,,
0.7,expected,0.6591311,,,,
0.7,expected,0.6926638,,,,
0.7,expected,0.3332798,,,,
0.7,expected,0.3588584,,,,
0.7,expected,0.578573,,,,
0.7,expected,0.325384,,,,
0.7,expected,0.6195103,,,,
0.7,expected,0.4948986,,,,
0.7,expected,0.3582416,,,,
0.7,expected,0.4323404,,,,
0.7,expected,0.306706,,,,
0.7,expected,0.2807622,,,,
0.7,expected,0.2818473,,,,
0.7,expected,1.6942801,,,,
0.7,expected,0.4987559,,,,
0.7,expected,0.7693281,,,,
0.7,expected,0.9799561,,,,
0.7,expected,0.7461248,,,,
0.7,expected,0.375367,,,,
0.7,expected,0.4204813,,,,
0.7,expected,0.4333786,,,,
0.7,expected,0.5210838,,,,
0.7,expected,0.3972912,,,,
0.7,expected,0.8490481,,,,
0.7,expected,0.6251488,,,,
0.7,expected,0.5990353,,,,
0.7,expected,0.3823769,,,,
0.7,expected,0.6894113,,,,
0.7,expected,0.4264173,,,,
0.7,expected,0.8211602,,,,
0.7,expected,1.8143264,,,,
0.7,expected,2.480694,,,,
0.7,expected,1.4823903,,,,
0.7,expected,0.8348975,,,,
0.7,expected,0.8409043,,,,
0.7,expected,0.8785647,,,,
0.7,expected,2.0656557,,,,
0.7,expected,0.4353475,,,,
0.7,expected,0.3273481,,,,
0.7,expected,0.6874669,,,,
0.7,expected,1.0333843,,,,
0.7,expected,0.4903067,,,,
0.7,expected,1.1685589,,,,
0.7,expected,0.5785601,,,,
0.7,expected,0.9614423,,,,
0.7,expected,0.4316449,,,,
0.7,expected,0.5966496,,,,
0.7,expected,0.3243413,,,,
0.7,expected,0.4546251,,,,
0.7,expected,0.4238131,,,,
0.7,expected,0.4778831,,,,
0.1,unexpected,0.4738828,,,,
0.1,unexpected,1.037699,,,,
0.1,unexpected,1.2418481,,,,
0.1,unexpected,0.5265646,,,,
0.1,unexpected,1.0002627,,,,
0.1,unexpected,0.9829064,,,,
